,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
0,female,group D,master's degree,standard,none,62,70,75
1,female,group C,bachelor's degree,free/reduced,completed,66,83,83
2,female,group D,some college,free/reduced,none,79,89,86
3,male,group C,master's degree,free/reduced,none,61,67,66
4,male,group E,high school,standard,none,73,64,57
5,male,group B,high school,free/reduced,none,30,24,15
6,female,group C,bachelor's degree,standard,completed,96,100,100
7,female,group C,associate's degree,standard,completed,57,77,80
8,male,group D,high school,standard,completed,68,64,66
9,female,group C,some high school,free/reduced,none,48,58,52
10,male,group B,some high school,standard,none,67,64,61
11,female,group C,some college,free/reduced,none,59,62,64
12,male,group E,some high school,standard,completed,74,64,60
13,female,group C,some high school,standard,none,65,69,76
14,female,group B,some college,standard,none,62,67,67
15,male,group C,associate's degree,standard,none,47,37,35
16,male,group D,associate's degree,standard,none,80,63,63
17,male,group C,high school,standard,none,68,60,53
18,female,group D,some college,standard,completed,79,84,91
19,male,group D,high school,standard,none,89,87,79
20,male,group A,some college,standard,none,69,67,69
21,female,group E,some college,free/reduced,none,53,58,57
22,female,group C,some college,standard,completed,64,82,77
23,male,group C,high school,standard,completed,82,84,82
24,male,group B,high school,free/reduced,none,36,29,27
25,female,group B,master's degree,standard,none,90,95,93
26,female,group D,master's degree,standard,none,64,63,66
27,female,group B,bachelor's degree,standard,none,52,65,69
28,female,group D,some high school,free/reduced,none,67,84,84
29,male,group C,associate's degree,standard,completed,51,60,58
30,male,group D,some college,standard,none,79,73,67
31,male,group A,high school,standard,none,63,63,62
32,female,group D,associate's degree,free/reduced,none,52,59,56
33,male,group A,associate's degree,free/reduced,completed,40,55,53
34,male,group D,some college,standard,none,40,42,38
35,female,group B,some college,standard,none,63,65,61
36,male,group C,associate's degree,standard,none,46,43,42
37,female,group C,some high school,free/reduced,completed,65,76,75
38,female,group B,some high school,standard,none,62,64,66
39,male,group B,associate's degree,standard,none,90,78,81
40,male,group A,associate's degree,free/reduced,none,47,57,44
41,male,group C,some college,standard,none,59,41,42
42,female,group B,master's degree,free/reduced,completed,77,97,94
43,female,group C,associate's degree,standard,none,52,55,57
44,male,group E,some college,standard,completed,99,87,81
45,female,group B,some high school,standard,none,70,64,72
46,male,group C,associate's degree,free/reduced,none,64,66,59
47,male,group A,bachelor's degree,standard,completed,80,78,81
48,male,group D,high school,free/reduced,none,42,39,34
49,male,group E,associate's degree,standard,completed,97,82,88
50,male,group A,some college,free/reduced,completed,50,47,54
51,female,group B,some high school,standard,completed,65,82,78
52,female,group C,master's degree,free/reduced,none,52,65,61
53,female,group E,associate's degree,standard,none,59,62,69
54,male,group B,some high school,standard,none,74,63,57
55,female,group C,some high school,free/reduced,none,43,53,53
56,female,group B,high school,free/reduced,completed,67,78,79
57,male,group E,bachelor's degree,standard,completed,100,100,100
